Designation,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.000000,-25.000000,180.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.000000,-25.000000,180.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.000000,-25.000000,180.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",175.000000,-25.000000,180.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",150.000000,-50.000000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.000000,-50.000000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",50.000000,-50.000000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.000000,-75.000000,180.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.000000,-75.000000,180.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.000000,-75.000000,180.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",175.000000,-75.000000,180.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",150.000000,-100.000000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.000000,-100.000000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",50.000000,-100.000000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.000000,-125.000000,180.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.000000,-125.000000,180.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.000000,-125.000000,180.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",175.000000,-125.000000,180.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",150.000000,-147.500000,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",100.000000,-147.500000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",50.050000,-147.500000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",25.000000,-175.000000,180.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",75.000000,-175.000000,180.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.000000,-175.000000,180.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",175.000000,-175.000000,180.000000,top
"R1","330","R_0603_1608Metric",90.500000,-7.000000,270.000000,top
"R2","330","R_0603_1608Metric",177.500000,-101.787500,270.000000,top
"R3","330","R_0603_1608Metric",92.500000,-194.000000,90.000000,top
"R4","330","R_0603_1608Metric",8.000000,-90.000000,0.000000,top
